# ###########
# [default parameters]
#   OrderedDict([('NL', '10'), ('NR', '10'), ('GNL', '1e-4'), ('GNR', '1e-4'), ('GS', '1.'), ('wL', '5.'), ('wR', '3.'), ('lambdaL', '0.05'), ('lambdaR', '0.05'), ('QL', '1e5'), ('QR', '1e5'), ('TOscL', '5.'), ('TOscR', '5.'), ('TelL', '0.'), ('TelR', '0.'), ('muL', '-1e3'), ('muR', '-1e3'), ('ham', 'chargevib')])
# [assignments]
#   OrderedDict([('eLu', 'x'), ('eLd', 'x'), ('eRu', 'x'), ('eRd', 'x')])
# [variables]
#   ['x']
# [columns]
#   ['x', 'IL', 'IR', 'IphL', 'IphR', 'nOscL', 'nOscR', 'nElL', 'nElR', 'dotEOscL', 'dotEOscR', 'dotEelL', 'dotEelR', 'eta', 'commL', 'commR']
# ###########
# 
7.000000e-01 2.529764e-05 2.529764e-05 -1.328142e-08 -2.811549e-08 5.813010e-01 1.190724e+00 2.529764e-01 2.529764e-01 -6.010807e-08 -7.576299e-08 5.627503e-08 7.959603e-08 -3.094148e-07 9.992216e-01 9.796153e-01
7.000800e-01 2.529498e-05 2.529498e-05 -1.362875e-08 -2.763483e-08 5.812941e-01 1.190733e+00 2.529498e-01 2.529498e-01 -6.185736e-08 -7.459010e-08 5.656068e-08 7.988679e-08 -2.516851e-07 9.992216e-01 9.796127e-01
7.001600e-01 2.529233e-05 2.529233e-05 -1.392121e-08 -2.724580e-08 5.812882e-01 1.190742e+00 2.529233e-01 2.529233e-01 -6.333285e-08 -7.371080e-08 5.685625e-08 8.018740e-08 -2.051599e-07 9.992216e-01 9.796115e-01
7.002400e-01 2.528968e-05 2.528968e-05 -1.434111e-08 -2.664456e-08 5.812798e-01 1.190754e+00 2.528968e-01 2.528968e-01 -6.544613e-08 -7.221567e-08 5.716275e-08 8.049905e-08 -1.338401e-07 9.992217e-01 9.796076e-01
7.003200e-01 2.528705e-05 2.528705e-05 -1.434152e-08 -2.674179e-08 5.812797e-01 1.190749e+00 2.528705e-01 2.528705e-01 -6.546251e-08 -7.283805e-08 5.747985e-08 8.082071e-08 -1.458364e-07 9.992217e-01 9.796092e-01
7.004000e-01 2.528442e-05 2.528442e-05 -1.468270e-08 -2.627105e-08 5.812728e-01 1.190756e+00 2.528442e-01 2.528442e-01 -6.718334e-08 -7.178124e-08 5.780938e-08 8.115520e-08 -9.092361e-08 9.992217e-01 9.796058e-01
7.004800e-01 2.528180e-05 2.528180e-05 -1.495763e-08 -2.590991e-08 5.812673e-01 1.190762e+00 2.528180e-01 2.528180e-01 -6.857363e-08 -7.108006e-08 5.815151e-08 8.150219e-08 -4.956978e-08 9.992218e-01 9.796041e-01
7.005600e-01 2.527920e-05 2.527920e-05 -1.524596e-08 -2.552531e-08 5.812615e-01 1.190767e+00 2.527920e-01 2.527920e-01 -7.003164e-08 -7.033803e-08 5.850709e-08 8.186258e-08 -6.060052e-09 9.992218e-01 9.796015e-01
7.006400e-01 2.527660e-05 2.527660e-05 -1.541597e-08 -2.533627e-08 5.812580e-01 1.190768e+00 2.527660e-01 2.527660e-01 -7.089880e-08 -7.021506e-08 5.887687e-08 8.223699e-08 1.352502e-08 9.992219e-01 9.796011e-01
7.007200e-01 2.527401e-05 2.527401e-05 -1.596890e-08 -2.450751e-08 5.812469e-01 1.190784e+00 2.527401e-01 2.527401e-01 -7.368134e-08 -6.820802e-08 5.926206e-08 8.262729e-08 1.082796e-07 9.992219e-01 9.795962e-01
7.008000e-01 2.527144e-05 2.527144e-05 -1.645878e-08 -2.378114e-08 5.812371e-01 1.190798e+00 2.527144e-01 2.527144e-01 -7.614954e-08 -6.654801e-08 5.966367e-08 8.303388e-08 1.899681e-07 9.992220e-01 9.795923e-01
7.008800e-01 2.526887e-05 2.526887e-05 -1.664026e-08 -2.356519e-08 5.812334e-01 1.190797e+00 2.526887e-01 2.526887e-01 -7.707663e-08 -6.646196e-08 6.008196e-08 8.345664e-08 2.100344e-07 9.992220e-01 9.795908e-01
7.009600e-01 2.526633e-05 2.526633e-05 -1.702930e-08 -2.299958e-08 5.812255e-01 1.190808e+00 2.526633e-01 2.526633e-01 -7.904255e-08 -6.537518e-08 6.051914e-08 8.389860e-08 2.704661e-07 9.992220e-01 9.795897e-01
7.010400e-01 2.526379e-05 2.526379e-05 -1.733538e-08 -2.256717e-08 5.812194e-01 1.190809e+00 2.526379e-01 2.526379e-01 -8.059471e-08 -6.474123e-08 6.097600e-08 8.435994e-08 3.137589e-07 9.992221e-01 9.795850e-01
7.011200e-01 2.526127e-05 2.526127e-05 -1.791328e-08 -2.167622e-08 5.812077e-01 1.190825e+00 2.526127e-01 2.526127e-01 -8.350716e-08 -6.279040e-08 6.145437e-08 8.484319e-08 4.100499e-07 9.992221e-01 9.795808e-01
7.012000e-01 2.525877e-05 2.525877e-05 -1.787556e-08 -2.180334e-08 5.812084e-01 1.190813e+00 2.525877e-01 2.525877e-01 -8.334273e-08 -6.396024e-08 6.195513e-08 8.534784e-08 3.836784e-07 9.992222e-01 9.795811e-01
7.012800e-01 2.525628e-05 2.525628e-05 -1.896141e-08 -2.005078e-08 5.811866e-01 1.190850e+00 2.525628e-01 2.525628e-01 -8.879750e-08 -5.956346e-08 6.248139e-08 8.587956e-08 5.787479e-07 9.992223e-01 9.795719e-01
7.013600e-01 2.525382e-05 2.525382e-05 -1.979352e-08 -1.871048e-08 5.811700e-01 1.190876e+00 2.525382e-01 2.525382e-01 -9.298501e-08 -5.648711e-08 6.303447e-08 8.643765e-08 7.226215e-07 9.992224e-01 9.795644e-01
7.014400e-01 2.525137e-05 2.525137e-05 -1.931492e-08 -1.954122e-08 5.811794e-01 1.190842e+00 2.525137e-01 2.525137e-01 -9.062055e-08 -6.001329e-08 6.361383e-08 8.702002e-08 6.060514e-07 9.992223e-01 9.795689e-01
7.015200e-01 2.524895e-05 2.524895e-05 -2.005710e-08 -1.832431e-08 5.811645e-01 1.190862e+00 2.524895e-01 2.524895e-01 -9.436173e-08 -5.750159e-08 6.422621e-08 8.763711e-08 7.299341e-07 9.992224e-01 9.795628e-01
7.016000e-01 2.524655e-05 2.524655e-05 -2.107617e-08 -1.662900e-08 5.811440e-01 1.190894e+00 2.524655e-01 2.524655e-01 -9.948921e-08 -5.367310e-08 6.487322e-08 8.828909e-08 9.073735e-07 9.992225e-01 9.795536e-01
7.016800e-01 2.524418e-05 2.524418e-05 -2.154223e-08 -1.583463e-08 5.811346e-01 1.190896e+00 2.524418e-01 2.524418e-01 -1.018538e-07 -5.267752e-08 6.555571e-08 8.897556e-08 9.740112e-07 9.992226e-01 9.795467e-01
7.017600e-01 2.524184e-05 2.524184e-05 -2.175199e-08 -1.544304e-08 5.811303e-01 1.190892e+00 2.524184e-01 2.524184e-01 -1.029390e-07 -5.304231e-08 6.627893e-08 8.970240e-08 9.883732e-07 9.992227e-01 9.795468e-01
7.018400e-01 2.523953e-05 2.523953e-05 -2.354614e-08 -1.238420e-08 5.810943e-01 1.190955e+00 2.523953e-01 2.523953e-01 -1.119488e-07 -4.557583e-08 6.704771e-08 9.047688e-08 1.314861e-06 9.992228e-01 9.795301e-01
7.019200e-01 2.523725e-05 2.523725e-05 -2.301078e-08 -1.317196e-08 5.811049e-01 1.190916e+00 2.523725e-01 2.523725e-01 -1.093136e-07 -4.984098e-08 6.786160e-08 9.129302e-08 1.178271e-06 9.992228e-01 9.795367e-01
7.020000e-01 2.523501e-05 2.523501e-05 -2.407051e-08 -1.126254e-08 5.810835e-01 1.190938e+00 2.523501e-01 2.523501e-01 -1.146571e-07 -4.624132e-08 6.873138e-08 9.216701e-08 1.355572e-06 9.992229e-01 9.795224e-01
7.020800e-01 2.523282e-05 2.523282e-05 -2.548648e-08 -8.712868e-09 5.810551e-01 1.190979e+00 2.523282e-01 2.523282e-01 -1.217851e-07 -4.097350e-08 6.965916e-08 9.309941e-08 1.601319e-06 9.992230e-01 9.795080e-01
7.021600e-01 2.523067e-05 2.523067e-05 -2.685205e-08 -6.189776e-09 5.810277e-01 1.191016e+00 2.523067e-01 2.523067e-01 -1.286649e-07 -3.608757e-08 7.065396e-08 9.409852e-08 1.834619e-06 9.992232e-01 9.794935e-01
7.022400e-01 2.522857e-05 2.522857e-05 -2.631364e-08 -6.771120e-09 5.810382e-01 1.190964e+00 2.522857e-01 2.522857e-01 -1.260291e-07 -4.085281e-08 7.171802e-08 9.516388e-08 1.688092e-06 9.992232e-01 9.794944e-01
7.023200e-01 2.522653e-05 2.522653e-05 -2.843268e-08 -2.845638e-09 5.809957e-01 1.191033e+00 2.522653e-01 2.522653e-01 -1.366854e-07 -3.249687e-08 7.286571e-08 9.631653e-08 2.065058e-06 9.992233e-01 9.794748e-01
7.024000e-01 2.522456e-05 2.522456e-05 -3.085991e-08 1.691702e-09 5.809470e-01 1.191112e+00 2.522456e-01 2.522456e-01 -1.488882e-07 -2.278275e-08 7.410754e-08 9.756341e-08 2.499656e-06 9.992236e-01 9.794508e-01
