# ###########
# [default parameters]
#   OrderedDict([('NL', '20'), ('NR', '20'), ('GNL', '1e-4'), ('GNR', '1e-4'), ('GS', '1.'), ('wL', '5.'), ('wR', '3.'), ('lambdaL', '0.2'), ('lambdaR', '0.2'), ('QL', '1e5'), ('QR', '1e5'), ('TL', '10.'), ('TR', '10.'), ('muL', '-1e3'), ('muR', '-1e3'), ('ham', 'chargevib')])
# [assignments]
#   OrderedDict([('eLu', 'x'), ('eLd', 'x'), ('eRu', 'x'), ('eRd', 'x')])
# [variables]
#   ['x']
# [columns]
#   ['x', 'IL', 'IR', 'nL', 'nR', 'commL', 'commR', 'dotQL', 'dotQR']
# ###########
# 
-4.000000e+00 2.127789e-06 2.127789e-06 1.555941e+00 2.814419e+00 9.991377e-01 9.815656e-01 3.961291e-06 8.044642e-07
-3.996800e+00 2.161419e-06 2.161419e-06 1.556246e+00 2.816267e+00 9.991485e-01 9.815234e-01 4.033636e-06 9.818801e-07
-3.993600e+00 2.200402e-06 2.200402e-06 1.557080e+00 2.817256e+00 9.991621e-01 9.815231e-01 4.237442e-06 1.071262e-06
-3.990400e+00 2.246374e-06 2.246374e-06 1.557920e+00 2.818822e+00 9.991726e-01 9.815142e-01 4.443848e-06 1.214777e-06
-3.987200e+00 2.300504e-06 2.300504e-06 1.559374e+00 2.819387e+00 9.991828e-01 9.814939e-01 4.803723e-06 1.271093e-06
-3.984000e+00 2.364895e-06 2.364895e-06 1.560607e+00 2.821405e+00 9.991941e-01 9.814426e-01 5.108036e-06 1.466278e-06
-3.980800e+00 2.441448e-06 2.441448e-06 1.561932e+00 2.824167e+00 9.991999e-01 9.813660e-01 5.437604e-06 1.734946e-06
-3.977600e+00 2.532552e-06 2.532552e-06 1.564284e+00 2.825408e+00 9.992053e-01 9.812954e-01 6.023868e-06 1.865096e-06
-3.974400e+00 2.642411e-06 2.642411e-06 1.566268e+00 2.829082e+00 9.992057e-01 9.811354e-01 6.520338e-06 2.237306e-06
-3.971200e+00 2.775169e-06 2.775169e-06 1.569465e+00 2.831630e+00 9.992035e-01 9.810402e-01 7.320802e-06 2.491518e-06
-3.968000e+00 2.938044e-06 2.938044e-06 1.572826e+00 2.836324e+00 9.991992e-01 9.809090e-01 8.163436e-06 2.948161e-06
-3.964800e+00 3.141951e-06 3.141951e-06 1.574999e+00 2.847355e+00 9.992022e-01 9.805323e-01 8.705880e-06 4.038308e-06
-3.961600e+00 3.394091e-06 3.394091e-06 1.582089e+00 2.849601e+00 9.991798e-01 9.803751e-01 1.048760e-05 4.281319e-06
-3.958400e+00 3.718843e-06 3.718843e-06 1.589205e+00 2.857922e+00 9.991604e-01 9.800695e-01 1.227460e-05 5.109255e-06
-3.955200e+00 4.142557e-06 4.142557e-06 1.598706e+00 2.868294e+00 9.991326e-01 9.796822e-01 1.466082e-05 6.142735e-06
-3.952000e+00 4.710809e-06 4.710809e-06 1.610737e+00 2.884171e+00 9.991038e-01 9.791098e-01 1.767982e-05 7.719108e-06
-3.948800e+00 5.503078e-06 5.503078e-06 1.622194e+00 2.920603e+00 9.990888e-01 9.780637e-01 2.054956e-05 1.126721e-05
-3.945600e+00 6.611333e-06 6.611333e-06 1.650234e+00 2.939885e+00 9.990017e-01 9.772327e-01 2.759192e-05 1.321559e-05
-3.942400e+00 8.277896e-06 8.277896e-06 1.683942e+00 2.992001e+00 9.989179e-01 9.757116e-01 3.604857e-05 1.829541e-05
-3.939200e+00 1.088582e-05 1.088582e-05 1.739629e+00 3.066384e+00 9.987871e-01 9.735781e-01 5.001506e-05 2.553405e-05
-3.936000e+00 1.523765e-05 1.523765e-05 1.828515e+00 3.201597e+00 9.986161e-01 9.697542e-01 7.228978e-05 3.867674e-05
-3.932800e+00 2.292001e-05 2.292001e-05 1.988392e+00 3.435846e+00 9.982927e-01 9.641158e-01 1.123557e-04 6.118649e-05
-3.929600e+00 3.646341e-05 3.646341e-05 2.259806e+00 3.878354e+00 9.978333e-01 9.537548e-01 1.803248e-04 1.036276e-04
-3.926400e+00 5.121227e-05 5.121227e-05 2.553803e+00 4.371430e+00 9.973105e-01 9.439749e-01 2.539289e-04 1.504471e-04
-3.923200e+00 4.400066e-05 4.400066e-05 2.395778e+00 4.171051e+00 9.975241e-01 9.473373e-01 2.143227e-04 1.315458e-04
-3.920000e+00 2.898101e-05 2.898101e-05 2.101498e+00 3.661906e+00 9.980381e-01 9.584085e-01 1.406006e-04 8.291624e-05
-3.916800e+00 1.902427e-05 1.902427e-05 1.887878e+00 3.376558e+00 9.985169e-01 9.661686e-01 8.705341e-05 5.527246e-05
-3.913600e+00 1.312674e-05 1.312674e-05 1.786370e+00 3.139259e+00 9.987104e-01 9.715022e-01 6.163191e-05 3.256492e-05
-3.910400e+00 9.690364e-06 9.690364e-06 1.711141e+00 3.045686e+00 9.988908e-01 9.746235e-01 4.277488e-05 2.335416e-05
-3.907200e+00 7.532267e-06 7.532267e-06 1.667995e+00 2.975278e+00 9.990115e-01 9.765548e-01 3.195578e-05 1.652977e-05
