# ###########
# [default parameters]
#   OrderedDict([('NL', '15'), ('NR', '15'), ('eLu', '0.7085'), ('eLd', '0.7085'), ('eRu', '0.7085'), ('eRd', '0.7085'), ('GNL', '1e-4'), ('GNR', '1e-4'), ('GS', '1.'), ('wL', '5.'), ('wR', '3.'), ('lambdaL', '0.05'), ('lambdaR', '0.05'), ('QL', '1e5'), ('QR', '1e5'), ('TOscL', '5.'), ('TOscR', '5.'), ('TelL', '5.'), ('TelR', '5.'), ('ham', 'chargevib')])
# [assignments]
#   OrderedDict([('muL', 'x'), ('muR', 'x')])
# [variables]
#   ['x']
# [columns]
#   ['x', 'IL', 'IR', 'IphL', 'IphR', 'nOscL', 'nOscR', 'nElL', 'nElR', 'dotEOscL', 'dotEOscR', 'dotEelL', 'dotEelR', 'eta', 'commL', 'commR']
# ###########
# 
0.000000e+00 -1.355273e-20 6.714199e-21 2.136675e-09 3.631648e-09 5.820197e-01 1.214648e+00 4.763947e-01 4.764167e-01 2.864163e-19 2.859199e-19 -1.101396e-20 8.662390e-22 nan 9.999921e-01 9.984774e-01
-2.000000e-02 5.636294e-08 5.636294e-08 -1.338117e-08 1.916703e-08 5.817062e-01 1.215157e+00 4.761500e-01 4.761720e-01 -7.836629e-08 4.583682e-08 1.622745e-08 1.630203e-08 5.509077e+01 9.999921e-01 9.984769e-01
-4.000000e-02 1.127184e-07 1.127184e-07 -2.889149e-08 3.469703e-08 5.813929e-01 1.215665e+00 4.759050e-01 4.759271e-01 -1.566979e-07 9.165458e-08 3.244711e-08 3.259620e-08 2.754125e+01 9.999921e-01 9.984764e-01
-6.000000e-02 1.690661e-07 1.690661e-07 -4.439419e-08 5.022156e-08 5.810796e-01 1.216173e+00 4.756598e-01 4.756820e-01 -2.349943e-07 1.374530e-07 4.865890e-08 4.888240e-08 1.835807e+01 9.999921e-01 9.984758e-01
-8.000000e-02 2.254058e-07 2.254058e-07 -5.988917e-08 6.574052e-08 5.807666e-01 1.216681e+00 4.754145e-01 4.754367e-01 -3.132551e-07 1.832319e-07 6.486269e-08 6.516053e-08 1.376648e+01 9.999922e-01 9.984753e-01
-1.000000e-01 2.817370e-07 2.817370e-07 -7.537635e-08 8.125381e-08 5.804536e-01 1.217189e+00 4.751690e-01 4.751912e-01 -3.914797e-07 2.289908e-07 8.105840e-08 8.143049e-08 1.101152e+01 9.999922e-01 9.984748e-01
-1.200000e-01 3.380596e-07 3.380596e-07 -9.085562e-08 9.676134e-08 5.801409e-01 1.217696e+00 4.749233e-01 4.749456e-01 -4.696677e-07 2.747296e-07 9.724592e-08 9.769217e-08 9.174878e+00 9.999922e-01 9.984742e-01
-1.400000e-01 3.943731e-07 3.943731e-07 -1.063269e-07 1.122630e-07 5.798282e-01 1.218203e+00 4.746774e-01 4.746997e-01 -5.478185e-07 3.204479e-07 1.134251e-07 1.139455e-07 7.862990e+00 9.999922e-01 9.984737e-01
-1.600000e-01 4.506772e-07 4.506772e-07 -1.217901e-07 1.277587e-07 5.795158e-01 1.218710e+00 4.744314e-01 4.744538e-01 -6.259318e-07 3.661455e-07 1.295960e-07 1.301903e-07 6.879073e+00 9.999922e-01 9.984732e-01
-1.800000e-01 5.069717e-07 5.069717e-07 -1.372451e-07 1.432484e-07 5.792034e-01 1.219217e+00 4.741852e-01 4.742076e-01 -7.040069e-07 4.118221e-07 1.457583e-07 1.464265e-07 6.113803e+00 9.999922e-01 9.984726e-01
-2.000000e-01 5.632563e-07 5.632563e-07 -1.526918e-07 1.587319e-07 5.788913e-01 1.219723e+00 4.739388e-01 4.739612e-01 -7.820435e-07 4.574775e-07 1.619120e-07 1.626540e-07 5.501585e+00 9.999922e-01 9.984721e-01
-2.200000e-01 6.195305e-07 6.195305e-07 -1.681301e-07 1.742092e-07 5.785792e-01 1.220229e+00 4.736922e-01 4.737147e-01 -8.600411e-07 5.031113e-07 1.780570e-07 1.788728e-07 5.000679e+00 9.999922e-01 9.984716e-01
-2.400000e-01 6.757942e-07 6.757942e-07 -1.835599e-07 1.896802e-07 5.782674e-01 1.220735e+00 4.734455e-01 4.734681e-01 -9.379991e-07 5.487233e-07 1.941932e-07 1.950826e-07 4.583257e+00 9.999922e-01 9.984710e-01
-2.600000e-01 7.320470e-07 7.320470e-07 -1.989812e-07 2.051447e-07 5.779557e-01 1.221241e+00 4.731986e-01 4.732212e-01 -1.015917e-06 5.943131e-07 2.103206e-07 2.112834e-07 4.230052e+00 9.999922e-01 9.984705e-01
-2.800000e-01 7.882885e-07 7.882885e-07 -2.143938e-07 2.206028e-07 5.776442e-01 1.221747e+00 4.729515e-01 4.729742e-01 -1.093795e-06 6.398807e-07 2.264389e-07 2.274752e-07 3.927304e+00 9.999923e-01 9.984700e-01
